_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=1srRsTj50-AEg3Ek4oGM_Wp5E-MyrX91h,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=1cP1y9CrSSL-cGcYulCB7iKvvRpj5BgCr,
SOURCE_DOCUMENT_TITLE,2011 Consolidated Financial Statements,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,Statement of Financial Position,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=1LkrtAW78uNH65jq4wGmquDaNH1jiGOwg,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2011,
VERSION,Actual,
ASPECT,Assets,
NOTES_CONTENT,Dollar,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,20923368,
INTAKE_DATETIME,2017-11-18-14-18-47,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Asset:CODE,Asset:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
TANGIBLEASSETS,"Tangible capital assets, net",20629025
INVENTORIES,Inventories and prepaid expenses,294343
