Affordable Housing Office ,23
Children's Services ,958.5
Court Services ,293
"Economic Development, Culture & Tourism ",276.2
Emergency Medical Services ,1213
Long Term Care Homes & Services ,2218.3
"Parks, Forestry & Recreation ",4213.3
"Shelter, Housing & Support Administration ",743.9
"Social Development, Finance & Administration ",202.8
Toronto Employment &Social Services ,2148
311 Customer Service Strategy ,152
City Planning ,362.5
Fire Services ,3145.5
Municipal Licensing and Standards ,497.6
"Policy, Planning, Finance & Administration ",400.2
Technical Services ,161.4
Toronto Building ,417.5
Toronto Environment Office ,27.6
Transportation Services ,1350.2
Waterfront Secretariat ,6
Office of the Chief Financial Officer ,127
Office of the Treasurer ,787
Facilities & Real Estate ,813
Fleet Services ,208
Information & Technology ,366
City Manager's Office ,408
City Clerk's Office ,440.9
Legal Services ,276
Mayor's Office ,23
City Council ,176
Auditor General's Office ,29
Office of the Lobbyist Registrar ,8.3
Office of the Integrity Commissioner ,0.5
Office of the Ombudsperson ,7
Toronto Public Health ,1863.3
Toronto Public Library ,1832.6
Association of Community Centres ,91.2
Exhibition Place ,529.5
Heritage Toronto ,6
Theatres ,148.6
Toronto Zoo ,373.8
Arena Boards of Management ,65.5
Yonge-Dundas Square ,5
Parking Tag Enforcement & Operations ,395
Toronto Atmospheric Fund ,6
Toronto Transit Commission (includes Wheel Trans) ,11049
Toronto Police Service (excludes Board) ,7792
Solid Waste Management Services ,1354.8
Toronto Water ,1723.5
Toronto Parking Authority ,299.6
