Affordable Housing Office ,24
Children's Services ,967.7
Court Services ,221
Culture ,144
Economic Development ,80
Emergency Medical Services ,1197.3
Homes for the Aged ,2126.9
"Parks, Forestry & Recreation ",3884.1
"Shelter, Housing & Support ",689
"Social Development, Finance & Administration ",294.3
Social Services ,1940
Tourism ,41.3
Building ,408.5
Business Support ,82
City Planning ,327
Clean & Beautiful Secretariat ,2
Fire Services ,3186.7
Municipal Licensing and Standards ,320
Solid Waste Management Services ,1421.1
Transportation Services ,1380.4
Waterfront Secretariat ,6
WES - Technical Services ,384.5
Office of the DCM and Chief Financial Officer ,165
Office of the Treasurer ,729
Corporate Communications ,83
Facilities & Real Estate ,708.3
Fleet Services ,198
Information & Technology ,337
City Manager's Office ,63
Human Resources ,305
City Clerk's Office ,360.5
Legal Services ,241
Auditor General's Office ,30
Mayor's Office ,19
Council ,183
3 - 1 - 1 Program ,0
Toronto Public Health ,1836.7
Toronto Public Library ,1813.2
Association of Community Centres ,90.1
Exhibition Place ,447
Heritage Toronto ,5
Theatres ,200
Toronto Zoo ,354
Arena Boards of Management ,63.5
Yonge Dundas Square ,4
Parking Enforcement Unit ,395
Toronto Atmospheric Fund ,4
Toronto & Region Conservation Authority ,394.7
Toronto Transit Commission* ,9949
Toronto Police Services(excludes Board) ,7572
