_META_START_,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuaVNJaGdjMVlYTUE,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2012,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8Ouc3YydENhTEZCam8,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,
YEAR,2012,,,,,,
VERSION,PBFT,,,,,,
ASPECT,Expenses,,,,,,
NOTES_CONTENT,,,,,,,
NOTES_SEVERITY,,,,,,,
UNITS_NAME,Dollar,,,,,,
UNITS_CODE,DOLLAR,,,,,,
UNITS_MULTIPLIER,1000,,,,,,
TOTAL_AMOUNT,10767105.291991018,,,,,,
INTAKE_DATETIME,2016-10-28-22-50-32,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Expense:CODE, Expense:NAME",,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,,,
_META_END_,,,,,,,
311SERVICE,311 Toronto,100A,Salaries And Benefits,16209.2,,,
311SERVICE,311 Toronto,200A,Materials & Supplies,20.7,,,
311SERVICE,311 Toronto,300A,Equipment,23.8,,,
311SERVICE,311 Toronto,400A,Service And Rent,1709.8,,,
311SERVICE,311 Toronto,505A,Contribution To Capital,,,,
311SERVICE,311 Toronto,510A,Contribution To Reserves/Reserve Funds,22.2,,,
311SERVICE,311 Toronto,650A,Other Expenditures,,,,
AFFHOUSING,Affordable Housing Office,100A,Salaries And Benefits,2076.6314,,,
AFFHOUSING,Affordable Housing Office,200A,Materials & Supplies,12.22496,,,
AFFHOUSING,Affordable Housing Office,300A,Equipment,8.2142,,,
AFFHOUSING,Affordable Housing Office,400A,Service And Rent,152.74759,,,
AFFHOUSING,Affordable Housing Office,505A,Contribution To Capital,,,,
