_META_START_,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuX0txYk0yTVJaYlk,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,,,,,,
SOURCE_DOCUMENT_TITLE,2016 Budget Committee Recommended Tax Supported Operating Budget,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,pdf p.36,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET OPERATING POSITIONS,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuelFHVVdpX1V2YW8,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,
YEAR,2015,,,,,,
VERSION,Summary,,,,,,
ASPECT,Staffing,,,,,,
NOTES_CONTENT,Rate supported total amounts were taken from 2016 gfoa per department; permanent and temp were calculated based on prior year ratios,,,,,,
NOTES_SEVERITY,,,,,,,
UNITS_NAME,Full Time Equivalent,,,,,,
UNITS_CODE,FTE,,,,,,
UNITS_MULTIPLIER,1,,,,,,
TOTAL_AMOUNT,51725.10000000001,,,,,,
INTAKE_DATETIME,2017-04-24-00-44-44,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Permanence:CODE,Permanence:NAME",,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,,,
_META_END_,,,,,,,
311SERVICE,311 Toronto,PERM,Permanent,125,,,
AFFHOUSING,Affordable Housing Office,PERM,Permanent,15,,,
AFFHOUSING,Affordable Housing Office,TEMP,Temporary,4,,,
ARENAS,Arena Boards of Management,PERM,Permanent,44.3,,,
ARENAS,Arena Boards of Management,TEMP,Temporary,23.4,,,
AUDITGEN,Auditor General's Office,PERM,Permanent,31.5,,,
AUDITGEN,Auditor General's Office,TEMP,Temporary,,,,
BUILDINGS,Toronto Building,PERM,Permanent,444,,,
BUILDINGS,Toronto Building,TEMP,Temporary,12,,,
CFO,Office of the Chief Financial Officer,PERM,Permanent,101,,,
CFO,Office of the Chief Financial Officer,TEMP,Temporary,2,,,
CHILDSERV,Children's Services,PERM,Permanent,951.3,,,
CHILDSERV,Children's Services,TEMP,Temporary,26.5,,,
CITYMANAGER,City Manager's Office,PERM,Permanent,411,,,
CITYMANAGER,City Manager's Office,TEMP,Temporary,10,,,
CLERK,City Clerk's Office,PERM,Permanent,399.1,,,
CLERK,City Clerk's Office,TEMP,Temporary,4.5,,,
COMMCENTRES,Association of Community Centres,PERM,Permanent,77.9,,,
COMMCENTRES,Association of Community Centres,TEMP,Temporary,,,,
COUNCIL,City Council,PERM,Permanent,44,,,
COUNCIL,City Council,TEMP,Temporary,136,,,
COURTSERV,Court Services,PERM,Permanent,282,,,
COURTSERV,Court Services,TEMP,Temporary,,,,
ECONDEV,Economic Development & Culture,PERM,Permanent,240,,,
ECONDEV,Economic Development & Culture,TEMP,Temporary,57.5,,,
ENGINEERING,Engineering & Construction Services,PERM,Permanent,120.3,,,
ENGINEERING,Engineering & Construction Services,TEMP,Temporary,11.6,,,
EXHIBPLACE,Exhibition Place,PERM,Permanent,185,,,
EXHIBPLACE,Exhibition Place,TEMP,Temporary,171,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",PERM,Permanent,894.2,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",TEMP,Temporary,33.3,,,
FIRE,Fire Services,PERM,Permanent,3165,,,
FIRE,Fire Services,TEMP,Temporary,3.3,,,
FLEET,Fleet Services,PERM,Permanent,175,,,
FLEET,Fleet Services,TEMP,Temporary,1,,,
HERITAGE,Heritage Toronto,PERM,Permanent,7,,,
HERITAGE,Heritage Toronto,TEMP,Temporary,,,,
INTEGRITYCOMM,Integrity Commissioner's Office,PERM,Permanent,3,,,
INTEGRITYCOMM,Integrity Commissioner's Office,TEMP,Temporary,,,,
IT,Information & Technology,PERM,Permanent,616,,,
IT,Information & Technology,TEMP,Temporary,3,,,
LEGAL,Legal Services,PERM,Permanent,273.5,,,
LEGAL,Legal Services,TEMP,Temporary,32.4,,,
LIBRARY,Toronto Public Library,PERM,Permanent,1736,,,
LIBRARY,Toronto Public Library,TEMP,Temporary,,,,
LICENCING,Municipal Licensing & Standards,PERM,Permanent,459,,,
LICENCING,Municipal Licensing & Standards,TEMP,Temporary,1,,,
