_META_,,,,,
SOURCE,https://drive.google.com/open?id=0BzB3t6aSc9bDQ09OS0h6NXhhb00,,,,
SOURCEQUALIFIERS,COUNCIL APPROVED,,,,
DOCTITLE,CITY OF TORONTO 2014 COUNCIL APPROVED OPERATING BUDGET GROSS EXPENDITURE,,,,
YEAR,2014,,,,
TYPE,GROSS EXPENDITURE,,,,
UNITS,"$1,000.00",,,,
NOTES,,,,,
_METAEND_,,,,,
_DATA_,,,,,
DIVISIONCODE,DivisionName,Amount,RollIntoCode,Note,AlternateSource
311SERVICE,311 Toronto,17801,,,
AFFHOUSING,Affordable Housing Office,2743,,,
ARENAS,Arena Boards of Management,8168,,,
AUDITGEN,Auditor General's Office,4685,,,
BUILDINGS,Toronto Buildings,48322,,,
CFO,Office of the Chief Financial Officer,15952,,,
CHILDSERV,Children's Services,420647,,,
CITYMANAGER,City Manager's Office,53853,,,
CLERK,City Clerk's Office,59650,,,
COMMCENTRES,Association of Community Centres,7586,,,
CORPEXPENDITURES,Non-Program Expenditures,658456,,,
CORPFINANCING,Capital & Corporate Financing,690552,,,
CORPREVENUES,Non-Program Revenues,9445,,,
COUNCIL,City's Council,22287,,,
COURTSERV,Court Services,53814,,,
ECONDEV,Economic Development & Culture,71094,,,
EMERG,Emergency Medical Services,187889,,,
ENGINEERING,Engineering & Construction Services,65959,,,
ENV,Toronto Environment Office,0,,,
EXHIBPLACE,Exhibition Place,44438,,,
FACILITIES,Facilities Management & Real Estate,186447,,,
FIRE,Fire Services,424735,,,
FLEET,Fleet Services,47789,,,
HERITAGE,Heritage Toronto,761,,,
INTEGRITYCOMM,Integrity Commissioner's Office,299,,,
IT,Information & Technology,110962,,,
LEGAL,Legal Services,47044,,,
LIBRARY,Toronto Public Library,184170,,,
LICENCING,Municipal Licensing & Standards,49882,,,
LOBBYREG,Office of the Lobbyist Registrar,1087,,,
LONGTERMHOME,Long Term Care Homes & Services,231800,,,
MAYOR,Mayor's Office,1089,,,
OMBUDSMAN,Office of the Ombudsman,1636,,,
PARKING,Toronto Parking Authority,138436,,,
PARKS,"Parks, Forestry & Recreation",437126,,,
PLANNING,City Planning,40853,,,
POLICE,Toronto Police Service,1086002,,,
POLICEBOARD,Toronto Police Services Board,2858,,,
POLICYADMIN,"Policy, Planning, Finance & Admin",22226,,,
PUBLICHEALTH,Toronto Public Health,246259,,,
REGIONCONSERV,Toronto Region Conservation Authority,38906,,,
SHELTERADMIN,"Shelter, Support & Housing Admin",644648,,,
SOCIALDEV,"Social Development, Finance & Admin",40540,,,
SOCIALSERV,Toronto Employment & Social Services,1172129,,,
SOLIDWASTE,Solid Waste Management Services,353924,,,
THEATRES,Theatres,22161,,,
TRANSPORTATION,Transportation Services,340011,,,
TREASURER,Office of the Treasurer,73456,,,
TTCCONV,Toronto Transit Commission-Conventional,1597559,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,112162,,,
WATER,Toronto Water,1021885,,,
YONGEDUNDAS,Yonge-Dundas Square,2216,,,
ZOO,Toronto Zoo,51756,,,
