Homes for the Aged,169545.9,
Arena Boards of Management,5386.1,
Auditor General's Office,3302.5,
Customer & Business Support,19779.4,
Children's Services,290200,
Chief Administrator's Office,5804.5,
City Clerk's Office,41427,
Association of Community Centers,5425.1,
Corporate Communications,6507.6,
Non-Program Expenditures,219613.3,
Capital & Corporate Financing,394663.9,
Council,18020.1,
Court Services,27758.5,
Community Partnership & Investment Program,42105.2,
Culture,12890.6,
Economic Development,8926.4,
Economic Recovery,200,
Emergency Medical Services,124140.4,
Emergency Management Plan,1770.3,
Exhibition Place,42406.8,
Facilities & Real Estate,88806.9,
Finance,70199.2,
Fire Services,303406.7,
Fleet Services,31489,
Heritage Toronto,464,
Human Resources,27416.9,
Service Improvement & Innovation,3579.1,
Information & Technology,45701.5,
Legal,26327.9,
Toronto Public Library,144025.7,
Mayor's Office,1753.5,
Parking Authority,52322.9,"Parking Authority (TPA): Net revenue has been distributed according to City's Revenue Sharing Agreement: 25% retained by TPA, 75% to the City (with $4.679 m to Transportation and the balance to Non-program)."
Parks & Recreation,239953.1,
Urban Development Services,94062.2,
Toronto Police Service,707573.2,
Toronto Police Board,1383,
Toronto Public Health,182671.7,
Toronto & Region Conservation Authority,26650.7,
"Shelter, Housing & Support",634873.7,
Social Development & Administration,18440.5,
Social Services,940732.9,
Solid Waste Management Services,217924.8,
WES - Support Services,35469.8,
WES - Technical Services,51514.9,
Theatres,20005.8,
Tourism,11241.2,
Transportation Services,257995.2,
Toronto Transit Commission - Conventional,933826.7,
Toronto Transit Commission - Wheel Trans,53221.1,
Water & Waste Water,555185.5,
Yonge/Dundas Square,910.4,
Toronto Zoo,34498.2,
