_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Performance Reporting,311 Performance Reporting,,3
311 Service Delivery,311 Service Delivery,,6
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation,,24
AM-Emergency Medical Care,AM-Emergency Medical Care,,26
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,,28
ASD-Payment Processing,ASD-Payment Processing,,27
ASD-SAP Governance,ASD-SAP Governance,,1
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support,,14
BL-Building Compliance,BL-Building Compliance,,36
BL-Building Permission & Information,BL-Building Permission & Information,,36
Bike Share,Bike Share,,4
Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,,14
CA-Environment & Energy,CA-Environment & Energy,,34
CA-Facilities Management,CA-Facilities Management,,30
CA-Real Estate,CA-Real Estate,,35
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development,,35
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program,,4
CD-Financial Management & Program Support,CD-Financial Management & Program Support,,25
CD-Social Policy & Planning,CD-Social Policy & Planning,,18
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships,,13
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",,14
CM-Executive Management,CM-Executive Management,,18
CM-Internal Auditing,CM-Internal Auditing,,10
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,,12
CM-Strategic Communications,CM-Strategic Communications,,22
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",,24
CPF-Investment & Debt Management,CPF-Investment & Debt Management,,16
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,,18
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,,20
Child Care Delivery,Child Care Delivery,,12
Child Care System Management,Child Care System Management,,11
Chronic Diseases & Injuries,Chronic Diseases & Injuries,,12
City Building & Policy Development,City Building & Policy Development,,10
Civil Litigation,Civil Litigation,,7
Community Ice & Facility Booking,Community Ice & Facility Booking,,8
"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",,5
Corporate Accounts,Corporate Accounts,,27
Corporate Leadership,Corporate Leadership,,4
Corporate Leadership (DCM),Corporate Leadership (DCM),,6
Court Case Management,Court Case Management,,10
Default Fine Collection Management,Default Fine Collection Management,,10
"Development Review, Decision & Implementation","Development Review, Decision & Implementation",,9
EC-Business Services,EC-Business Services,,24
EC-Cultural Services,EC-Cultural Services,,47
EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,,38
Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,,10
Emergency Preparedness,Emergency Preparedness,,11
Environmental Health,Environmental Health,,14
Exhibition Place Asset Management,Exhibition Place Asset Management,,8
Exhibition Place Parking Access,Exhibition Place Parking Access,,5
Exhibitions & Events,Exhibitions & Events,,8
F&A-Executive Leadership,F&A-Executive Leadership,,6
F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,,4
F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,,3
FL-Fleet Management,FL-Fleet Management,,27
FL-Fuel Management,FL-Fuel Management,,16
FPD-Financial Planning & Management,FPD-Financial Planning & Management,,18
FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,,6
FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,,17
"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",,14
FR-Fire Safety Education,FR-Fire Safety Education,,15
Family Health,Family Health,,12
Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,,10
GV-Elect Government,GV-Elect Government,,7
GV-Make Government Work,GV-Make Government Work,,24
GV-Open Government,GV-Open Government,,20
HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,,19
HR Employee & Labour Relations,HR Employee & Labour Relations,,9
HR Employment Services,HR Employment Services,,8
HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,,9
HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,,8
HS-Homeless and Housing First Solutions,HS-Homeless and Housing First Solutions,,26
HS-Social Housing System Management,HS-Social Housing System Management,,46
Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,,6
Heritage Promotion & Education,Heritage Promotion & Education,,9
Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,8
Housing Policy & Partnerships,Housing Policy & Partnerships,,8
IT-Business IT Solutions,IT-Business IT Solutions,,35
IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,,22
IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,,28
Infectious Diseases,Infectious Diseases,,12
Library Collections Access & Borrowing,Library Collections Access & Borrowing,,12
Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,,12
"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",,11
Long Term Care Homes,Long Term Care Homes,,12
"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",,43
"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",,36
MS-By-Law Enforcement,MS-By-Law Enforcement,,28
"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",,36
New Affordable Housing Development,New Affordable Housing Development,,9
Off-Street Parking,Off-Street Parking,,7
On-Street Parking,On-Street Parking,,6
Organizational Effectiveness,Organizational Effectiveness,,7
PA-Emergency Management,PA-Emergency Management,,9
PA-Financial Management,PA-Financial Management,,10
PA-Program Support,PA-Program Support,,26
PMM-Materials Management Stores & Distribution,PMM-Materials Management Stores & Distribution,,9
PMM-Purchasing,PMM-Purchasing,,12
PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,PPEB-Employee & Retiree Benefit & OMERS Pension Compensation,,23
PPEB-Non – OMERS Pension Plans,PPEB-Non – OMERS Pension Plans,,21
PPEB-Payroll,PPEB-Payroll,,28
PR-Community Recreation,PR-Community Recreation,,59
PR-Parks,PR-Parks,,70
PR-Urban Forestry,PR-Urban Forestry,,38
Prosecution,Prosecution,,7
Public Health Foundations,Public Health Foundations,,12
Public Space - Community Access,Public Space - Community Access,,2
RS-Parking Ticket,RS-Parking Ticket,,7
RS-Property Tax Billing,RS-Property Tax Billing,,28
RS-Revenue Accounting & Collection,RS-Revenue Accounting & Collection,,35
"RS-Tax, Utility & Parking Ticket Client Services","RS-Tax, Utility & Parking Ticket Client Services",,22
RS-Utility Billing,RS-Utility Billing,,19
SS-Employment Services,SS-Employment Services,,18
SS-Financial Supports,SS-Financial Supports,,12
SS-Integrated Case Management and Service Planning,SS-Integrated Case Management and Service Planning,,18
SW-City Beautification,SW-City Beautification,,29
SW-Residual Management,SW-Residual Management,,27
SW-Solid Waste Collection & Transfer,SW-Solid Waste Collection & Transfer,,49
SW-Solid Waste Education & Enforcement,SW-Solid Waste Education & Enforcement,,20
SW-Solid Waste Processing & Transport,SW-Solid Waste Processing & Transport,,60
Social Economic & Neighbourhood Development,Social Economic & Neighbourhood Development,,9
Solicitor,Solicitor,,10
Special Levy for Scarborough Subway,Special Levy for Scarborough Subway,,1
Special Levy for Scarborough Subway (Reserve Contribution),Special Levy for Scarborough Subway (Reserve Contribution),,1
TO-311 Development,TO-311 Development,,5
TO-311 Information & Business Processing,TO-311 Information & Business Processing,,4
TP-Permits & Applications,TP-Permits & Applications,,47
TP-Road & Sidewalk Management,TP-Road & Sidewalk Management,,64
TP-Transportation Safety & Operations,TP-Transportation Safety & Operations,,42
TW-Stormwater Management,TW-Stormwater Management,,21
TW-Wastewater Collection & Treatment,TW-Wastewater Collection & Treatment,,21
TW-Water Treatment & Supply,TW-Water Treatment & Supply,,20
Theatrical & Other Cultural Events,Theatrical & Other Cultural Events,,10
Toronto Police Service Governance & Oversight,Toronto Police Service Governance & Oversight,,6
Toronto Transit Commission - Conventional Service,Toronto Transit Commission - Conventional Service,,10
Toronto Transit Commission - Wheel-Trans Service,Toronto Transit Commission - Wheel-Trans Service,,6
WT-Engineering Information,WT-Engineering Information,,18
WT-Engineering Review & Acceptance,WT-Engineering Review & Acceptance,,20
WT-Municipal Infrastructure Construction,WT-Municipal Infrastructure Construction,,19
Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,,8
Zoo Conservation & Science,Zoo Conservation & Science,,8
Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,,7
Zoo Visitor Services,Zoo Visitor Services,,9
