_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Contrib. from CCRF (Allstream)),930A,guess,1
Contrib. from CCRF (Sportsman Show),930A,guess,1
Contribution from Res/Res Funds,930A,,1
Contribution from Reserve,930A,,42
Contribution from Reserve / Reserve Funds,930A,,1
Contribution from Reserve Funds,930A,,44
Contribution from Reserve/Res Funds,930A,,7
Contributions from Reserve Funds,930A,,1
Contributions from Reserves,930A,,1
Federal Subsidies,810A,,52
Grants from others,940A,guess,2
Interdivisional Recoveries,750A,,54
Legal Fee Rec - 3rd Party,940A,guess,1
Naming Rights (CCRF),860A,,1
Other Revenue,940A,,2
Other Revenues,940A,,7
Other Subsidies,820A,,54
Provincial Subsidies,805A,,52
Sale of Water,940A,guess,1
Sundry Revenues,940A,,44
Transfers from Capital Fund,920A,,54
User Fees & Donations,850A,,54
