_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
Contribution from Local Boards,930A,guess,
Contribution from Reserve,930A,,
Contribution from Reserve Funds,930A,,
External Funding & Donations,940A,guess,
Federal Subsidies,810A,,
Grants from Others,940A,guess,
Interdivisional Recoveries,750A,,
Interdivisional Recoveries (Leaside Pool),750A,,
Other Revenues,940A,,
Other Subsidies,820A,,
Provincial Subsidies,805A,,
Sundry Revenues,940A,,
Transfers from Capital Fund,920A,,
User Fees & Donations,850A,,
