_COLUMNS_,"Category:CODE,Category:NAME,Start:VALUE,End:Value,AllocateTo:CODE,AllocateTo:NAME,Note:DESCRIPTION",,,,,
BENEFITS,Employee Benefits (Note 13),2009,,,,
BUILDINGCODE,Building Code Act Service Improvement,2009,,,,
COMMINITIATIVES,Community Initiatives,2009,,,,
COMMINITIATIVESRESERVE,Community Initiatives – reserve,2009,2012,COMMINITIATIVES,,
COMMSERVICES,Community Services,2009,,,,
CORPFUND,Corporate – Fund,2009,,,,
CORPRESERVE,Corporate – Reserve,2009,,,,
DEVCHARGES,Development Charges,2009,,,,
DONATIONS,Donations,2009,,,,
GASTAX,Provincial Gas Tax,2009,,,,
PARKING,Parking Authority,2009,,,,
RECLAND,Recreational Land (Planning Act),2009,,,,
SOGR,State of Good Repair,2009,,,,
SOGROBLIG,State of Good Repair – Obligatory,2009,,,,
STABILIZATION,Stabilization,2009,,,,
SUBDIVIDERS,Subdividers’ Deposits,2009,2013,,,
THIRDPARTY,Third Party Agreements,2009,,,,
TRANSITFUNDS,Public Transit Funds,2009,,,,
WATER,Water and Wastewater,2009,,,,
WATEROBLIG,Water and Wastewater – Obligatory,2009,,,,
