311 Toronto, Salaries and Benefits ,9800,13059.4,16795.4,13819.6,16209.2
311 Toronto, Materials and Supplies ,19.9,15.5,58.5,58.5,20.7
311 Toronto, Equipment ,9.8,45.8,11.4,11.4,23.8
311 Toronto, Services & Rents ,540.3,1728,2001.2,1946.2,1709.8
311 Toronto, Contributions to Capital ,,,,,
311 Toronto, Contributions to Reserve/Res Funds ,21,21.4,22.2,22.2,22.2
311 Toronto, Other Expenditures ,0.6,0.8,,,
311 Toronto, Interdivisional Charges ,1173.1,180.9,258.9,258.9,262.4
Accountability Offices - Auditor General, Salaries and Benefits ,3815.4,3826.1,3838.1,3766.6,3814
Accountability Offices - Auditor General, Materials and Supplies ,8.7,6.1,15,12.5,15.2
Accountability Offices - Auditor General, Equipment ,8.8,5.4,7.5,6.5,7.6
Accountability Offices - Auditor General, Services & Rents ,548,332.2,381.6,360.5,405.4
Accountability Offices - Auditor General, Contributions to Capital ,0,0,0,0,0
Accountability Offices - Auditor General, Contributions to Reserve/Res Funds ,6.4,6.5,6.8,6.8,6.8
Accountability Offices - Auditor General, Other Expenditures ,0,0,0,0,0
Accountability Offices - Auditor General, Interdivisional Charges ,23.1,21.4,22.3,22.3,22.3
Accountability Offices - Integrity Commissioner, Salaries and Benefits ,83.9,188.5,187.7,187.7,194
Accountability Offices - Integrity Commissioner, Materials and Supplies ,0.6,0.3,1,1,1.2
Accountability Offices - Integrity Commissioner, Equipment ,0.7,0,0,0,0
Accountability Offices - Integrity Commissioner, Services & Rents ,99.6,5.3,8.2,8.2,11.3
Accountability Offices - Integrity Commissioner, Contributions to Capital ,0,0,0,0,0
Accountability Offices - Integrity Commissioner, Contributions to Reserve/Res Funds ,3.9,4,4.1,4.1,4.1
Accountability Offices - Integrity Commissioner, Other Expenditures ,0,0,0,0,0
Accountability Offices - Integrity Commissioner, Interdivisional Charges ,1.5,1.1,1,1,0.4
Accountability Offices - Lobbyist Registrar, Salaries and Benefits ,536.8,580.3,957.8,686.8,969.5
Accountability Offices - Lobbyist Registrar, Materials and Supplies ,8,5.3,9.9,9.9,10.1
Accountability Offices - Lobbyist Registrar, Equipment ,4.2,1.1,6.1,6.1,2.1
Accountability Offices - Lobbyist Registrar, Services & Rents ,30.8,40.1,62.8,62.8,77.6
Accountability Offices - Lobbyist Registrar, Contributions to Capital ,0,0,0,0,0
Accountability Offices - Lobbyist Registrar, Contributions to Reserve/Res Funds ,1.3,1.3,1.4,1.4,1.4
Accountability Offices - Lobbyist Registrar, Other Expenditures ,0,0,0,0,0
Accountability Offices - Lobbyist Registrar, Interdivisional Charges ,1.2,4.2,1.1,1.1,0.6
Association of Community Centres, Salaries and Benefits ,6112.4,5127.9,6412.6,6412.6,5924.2
Association of Community Centres, Materials and Supplies ,526.5,1229.3,514.6,514.6,497.3
Association of Community Centres, Equipment ,4,489.6,4,4,4
Association of Community Centres, Services & Rents ,737,704.6,508.3,504.9,485
Association of Community Centres, Contributions to Capital ,,,,,
Association of Community Centres, Contributions to Reserve/Res Funds ,7.5,,25.1,25.1,25
Association of Community Centres, Other Expenditures ,,3.7,7.1,7.1,15.8
Association of Community Centres, Interdivisional Charges ,,,,,
Affordable Housing Office,Salaries and Benefits,1950.08258,2142.07563,2341.2884,2173.6884,2076.6314
Affordable Housing Office,Materials and Supplies,62.5189,13.99228,27.46913,22.36913,12.22496
Affordable Housing Office,Equipment,0.80676,0.99611,12.2,12.2,8.2142
Affordable Housing Office,Services & Rents,276.26083,153.22507,206.58235,206.58235,152.74759
Affordable Housing Office,Contributions to Capital,0,0,0,0,0
Affordable Housing Office,Contributions to Reserve/Res Funds,4.3754,4.46973,4.64307,4.64307,4.64307
Affordable Housing Office,Other Expenditures,14.06882,0,0,0,0
Affordable Housing Office,Interdivisional Charges,434.14413,284.67301,294.286,294.286,326.386
Association of Community Centres,Salaries and Benefits,6112.395,5127.859,6412.64453,6412.6,5924.17716
Association of Community Centres,Materials and Supplies,526.487,1229.339,514.6,514.6,497.287
Association of Community Centres,Equipment,3.959,489.599,4,4,3.99079633
Association of Community Centres,Services & Rents,737.018,704.644,508.33856,504.93856,485.00556
Association of Community Centres,Contributions to Capital,,,,,
Association of Community Centres,Contributions to Reserve/Res Funds,7.5,,25.14652,25.1,25.0494
Association of Community Centres,Other Expenditures,,3.742,7.1,7.1,15.8
Arena Boards of Management,Salaries and Benefits,3467.369,3674.286,3761.66,3783.169,3956.706
Arena Boards of Management,Materials and Supplies,1595.617,1658.041,1826.681,1791.728,1812.314
Arena Boards of Management,Equipment,99.583,62.931,35.5,30.5,47.2
Arena Boards of Management,Services & Rents,819.687,816.586,718.842,775.792,723.662
Arena Boards of Management,Contributions to Capital,22.046,6.393,22.046,22.046,22.046
Arena Boards of Management,Contributions to Reserve/Res Funds,167.818,161.155,172.017,169.617,168.821
Arena Boards of Management,Other Expenditures,0,0,0,0,0
Arena Boards of Management,Interdivisional Charges,0,0,0,0,0
Children's Services,Salaries and Benefits,66713.41483,72178.42944,74264.983,74264.983,74833.1
Children's Services,Materials and Supplies,3292.88541,3647.96719,3783.525,3783.525,3249.4
Children's Services,Equipment,442.78173,357.78318,1012.125,1012.125,713.95
Children's Services,Services & Rents,285354.60214,288468.75887,303070.322,294922.722,308087.6
Children's Services,Contributions to Capital,0,0,0,0,0
Children's Services,Contributions to Reserve/Res Funds,1136.2183,1331.36438,1173.05253,1173.05253,1144.365
Children's Services,Other Expenditures,782.57338,889.69453,1028.7,1028.7,1034.1
Children's Services,Interdivisional Charges,7576.16628,2462.34964,3569.553,3569.553,3429
City Clerk's Office,Salaries and Benefits,33535,40916.8,37971.7,37500.7,35569
City Clerk's Office,Materials and Supplies,1606.3,1960.6,1390.1,1390.1,1332.2
City Clerk's Office,Equipment,443.8,485.8,147.7,147.7,151.2
City Clerk's Office,Services & Rents,7960.6,10245.8,7483.4,6892.4,7652.6
City Clerk's Office,Contributions to Capital,19.4,,,,
