311 Toronto,311 Performance Reporting,311 Performance Reporting,Materials & Supplies,200A,20,
311 Toronto,311 Performance Reporting,311 Performance Reporting,Salaries And Benefits,100A,248823,
311 Toronto,311 Performance Reporting,311 Performance Reporting,Service And Rent,400A,37,
311 Toronto,311 Service Delivery,311 Service Delivery,Equipment,300A,25357,
311 Toronto,311 Service Delivery,311 Service Delivery,Inter-Divisional Charges,700A,192020,
311 Toronto,311 Service Delivery,311 Service Delivery,Materials & Supplies,200A,14744,
311 Toronto,311 Service Delivery,311 Service Delivery,Salaries And Benefits,100A,10756523,
311 Toronto,311 Service Delivery,311 Service Delivery,Service And Rent,400A,1450053,
311 Toronto,TO-311 Development,311 PMO,Contribution To Reserves/Reserve Funds,510A,25905,
311 Toronto,TO-311 Development,311 PMO,Materials & Supplies,200A,1393,
311 Toronto,TO-311 Development,311 PMO,Salaries And Benefits,100A,2951411,
311 Toronto,TO-311 Development,311 PMO,Service And Rent,400A,10455,
311 Toronto,TO-311 Information & Business Processing,311 Business Processing,Salaries And Benefits,100A,465365,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Materials & Supplies,200A,100,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Salaries And Benefits,100A,949674,
311 Toronto,TO-311 Information & Business Processing,311 Information/ Content Management,Service And Rent,400A,794,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Contribution To Reserves/Reserve Funds,510A,1881,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Equipment,300A,681,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Inter-Divisional Charges,700A,109740,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Materials & Supplies,200A,4306,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Salaries And Benefits,100A,706347,
Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,Service And Rent,400A,56713,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Contribution To Reserves/Reserve Funds,510A,1881,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Equipment,300A,681,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Inter-Divisional Charges,700A,109740,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Materials & Supplies,200A,4306,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Salaries And Benefits,100A,706418,
Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,Service And Rent,400A,56713,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Contribution To Reserves/Reserve Funds,510A,1886,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Equipment,300A,681,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Inter-Divisional Charges,700A,109740,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Materials & Supplies,200A,4311,
Affordable Housing Office,New Affordable Housing Development,New Affordable Housing Development,Salaries And Benefits,100A,832180,
