311SERVICE,311 Toronto,100A,Salaries And Benefits,Expenses,15371796
311SERVICE,311 Toronto,200A,Materials & Supplies,Expenses,16258
311SERVICE,311 Toronto,300A,Equipment,Expenses,25357
311SERVICE,311 Toronto,400A,Service And Rent,Expenses,1461339
311SERVICE,311 Toronto,510A,Contribution To Reserves/Reserve Funds,Expenses,25905
311SERVICE,311 Toronto,700A,Inter-Divisional Charges,Expenses,192020
AFFHOUSING,Affordable Housing Office,100A,Salaries And Benefits,Expenses,2244944
AFFHOUSING,Affordable Housing Office,200A,Materials & Supplies,Expenses,12923
AFFHOUSING,Affordable Housing Office,300A,Equipment,Expenses,2044
AFFHOUSING,Affordable Housing Office,400A,Service And Rent,Expenses,168672
AFFHOUSING,Affordable Housing Office,510A,Contribution To Reserves/Reserve Funds,Expenses,5647
AFFHOUSING,Affordable Housing Office,700A,Inter-Divisional Charges,Expenses,329221
ARENAS,Arena Boards of Management,100A,Salaries And Benefits,Expenses,4348489
ARENAS,Arena Boards of Management,200A,Materials & Supplies,Expenses,2147208
ARENAS,Arena Boards of Management,300A,Equipment,Expenses,43508
ARENAS,Arena Boards of Management,400A,Service And Rent,Expenses,1031504
ARENAS,Arena Boards of Management,505A,Contribution To Capital,Expenses,559519
ARENAS,Arena Boards of Management,510A,Contribution To Reserves/Reserve Funds,Expenses,270175
COMMCENTRES,Association of Community Centres,100A,Salaries And Benefits,Expenses,6620822
COMMCENTRES,Association of Community Centres,200A,Materials & Supplies,Expenses,449823
COMMCENTRES,Association of Community Centres,300A,Equipment,Expenses,3337
COMMCENTRES,Association of Community Centres,400A,Service And Rent,Expenses,789847
COMMCENTRES,Association of Community Centres,510A,Contribution To Reserves/Reserve Funds,Expenses,29231
COMMCENTRES,Association of Community Centres,650A,Other Expenditures,Expenses,7000
AUDITGEN,Auditor General's Office,100A,Salaries And Benefits,Expenses,4520927
AUDITGEN,Auditor General's Office,200A,Materials & Supplies,Expenses,15950
AUDITGEN,Auditor General's Office,300A,Equipment,Expenses,8121
AUDITGEN,Auditor General's Office,400A,Service And Rent,Expenses,142383
AUDITGEN,Auditor General's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,7681
AUDITGEN,Auditor General's Office,700A,Inter-Divisional Charges,Expenses,22272
CORPFINANCING,Capital & Corporate Financing,505A,Contribution To Capital,Expenses,227642150
CORPFINANCING,Capital & Corporate Financing,510A,Contribution To Reserves/Reserve Funds,Expenses,18911638
CORPFINANCING,Capital & Corporate Financing,650A,Other Expenditures,Expenses,454045125
CORPFINANCING,Capital & Corporate Financing,700A,Inter-Divisional Charges,Expenses,933106
CHILDSERV,Children's Services,100A,Salaries And Benefits,Expenses,86275556
CHILDSERV,Children's Services,200A,Materials & Supplies,Expenses,2522376
CHILDSERV,Children's Services,300A,Equipment,Expenses,725526
CHILDSERV,Children's Services,400A,Service And Rent,Expenses,356236607
CHILDSERV,Children's Services,510A,Contribution To Reserves/Reserve Funds,Expenses,1280749
CHILDSERV,Children's Services,650A,Other Expenditures,Expenses,715176
CHILDSERV,Children's Services,700A,Inter-Divisional Charges,Expenses,4724215
CLERK,City Clerk's Office,100A,Salaries And Benefits,Expenses,39264578
CLERK,City Clerk's Office,200A,Materials & Supplies,Expenses,1343848
CLERK,City Clerk's Office,300A,Equipment,Expenses,69057
CLERK,City Clerk's Office,400A,Service And Rent,Expenses,7001637
CLERK,City Clerk's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,464633
CLERK,City Clerk's Office,650A,Other Expenditures,Expenses,32517
CLERK,City Clerk's Office,700A,Inter-Divisional Charges,Expenses,1082271
COUNCIL,City Council,100A,Salaries And Benefits,Expenses,18672088
COUNCIL,City Council,200A,Materials & Supplies,Expenses,1253604
COUNCIL,City Council,300A,Equipment,Expenses,182000
COUNCIL,City Council,400A,Service And Rent,Expenses,371500
COUNCIL,City Council,510A,Contribution To Reserves/Reserve Funds,Expenses,99217
COUNCIL,City Council,700A,Inter-Divisional Charges,Expenses,244219
CITYMANAGER,City Manager's Office,100A,Salaries And Benefits,Expenses,50442411
CITYMANAGER,City Manager's Office,200A,Materials & Supplies,Expenses,195103
CITYMANAGER,City Manager's Office,300A,Equipment,Expenses,115286
CITYMANAGER,City Manager's Office,400A,Service And Rent,Expenses,4640064
CITYMANAGER,City Manager's Office,510A,Contribution To Reserves/Reserve Funds,Expenses,107750
CITYMANAGER,City Manager's Office,700A,Inter-Divisional Charges,Expenses,256587
