_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuRnFxVFdwRGdtUFE,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,,,,
SOURCE_DOCUMENT_TITLE,2013 BUDGET BRIEFING NOTE Budget Committee Recommended Position Changes and 2012 Actual Staffing and Year-End Vacancy Projection ,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 13,,,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2013 BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET OPERATING POSITIONS,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8Ouc2NFTmJVQl9hQms,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2012,,,,
VERSION,Summary,,,,
ASPECT,Staffing,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Full Time Equivalent,,,,
UNITS_CODE,FTE,,,,
UNITS_MULTIPLIER,1,,,,
TOTAL_AMOUNT,48909.3,,,,
INTAKE_DATETIME,2016-10-14-14-16-42,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,19,,,
ARENAS,Arena Boards of Management,65.5,,,
AUDITGEN,Auditor General's Office,29,,,
BUILDINGS,Toronto Building,420,,,
CFO,Office of the Chief Financial Officer,124.6,,,"Original amount was null, plus:
Allocation from: ENV,Toronto Environment Office,22.6 (org chart)
Allocation from: ATMOSPHERE,Toronto Atmospheric Fund,7 (Org chart environment)"
CHILDSERV,Children's Services,927.8,,,
CITYMANAGER,City Manager's Office,392,,,
CLERK,City Clerk's Office,399.8,,,
COMMCENTRES,Association of Community Centres,79,,,
COUNCIL,City Council,176,,,
COURTSERV,Court Services,284,,,
ECONDEV,Economic Development & Culture,266.8,,,
ENGINEERING,Engineering & Construction Services,147.8,,,"Original amount was null, plus:
Allocation from: TECH,Technical Services,147.8 (toronto.ca)"
EXHIBPLACE,Exhibition Place,529.5,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",723.6,,,
FIRE,Fire Services,3176.3,,,
FLEET,Fleet Services,172,,,
HERITAGE,Heritage Toronto,6.5,,,
INTEGRITYCOMM,Integrity Commissioner's Office,1.5,,,
IT,Information & Technology,506,,,
LEGAL,Legal Services,273,,,
LIBRARY,Toronto Public Library,1717.9,,,
LICENCING,Municipal Licensing & Standards,452.6,,,
LOBBYREG,Office of the Lobbyist Registrar,8.3,,,
LONGTERMHOME,Long Term Care Homes & Services,2169.9,,,
MAYOR,Mayor's Office,18,,,
OMBUDSMAN,Office of the Ombudsman,10,,,
PARAMEDIC,Toronto Paramedic Services,1213,,,"Original amount was null, plus:
Allocation from: EMERG,Emergency Medical Services,1213 (logical)"
PARKING,Toronto Parking Authority,298.7,,,
PARKINGTAGS,Parking Tag Enforcement & Operations,394,,,
PARKS,"Parks, Forestry & Recreation",4202.2,,,
PLANNING,City Planning,340,,,
POLICE,Toronto Police Service,7869,,,
POLICEBOARD,Toronto Police Services Board,8,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",195.1,,,
PUBLICHEALTH,Toronto Public Health,1842.2,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",735.2,,,
SOCIALDEV,"Social Development, Finance & Administration",120.4,,,
SOCIALSERV,Toronto Employment & Social Services,2187.5,,,
SOLIDWASTE,Solid Waste Management Services,1096,,,
THEATRES,Theatres,181.1,,,
TRANSPORTATION,Transportation Services,1047.2,,,
TREASURER,Office of the Treasurer,730,,,
TTCCONV,Toronto Transit Commission - Conventional,10614,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,529,,,
WATER,Toronto Water,1659.3,,,
YONGEDUNDAS,Yonge-Dundas Square,5,,,
ZOO,Toronto Zoo,388,,,
311SERVICE,311 Toronto,158,,,
