_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuaVNJaGdjMVlYTUE,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuV0w1UXpZSVVSdE0,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2012,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8Ouc3YydENhTEZCam8,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2012,,,,
VERSION,PBFT,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,10767105.291991018,,,,
INTAKE_DATETIME,2016-10-28-22-50-32,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Expense:CODE, Expense:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,
_META_END_,,,,,
311SERVICE,311 Toronto,100A,Salaries and Benefits,16209.2,
311SERVICE,311 Toronto,200A,Materials and Supplies,20.7,
311SERVICE,311 Toronto,300A,Equipment,23.8,
311SERVICE,311 Toronto,400A,Services & Rents,1709.8,
311SERVICE,311 Toronto,505A,Contributions to Capital,,
311SERVICE,311 Toronto,510A,Contributions to Reserve/Res Funds,22.2,
311SERVICE,311 Toronto,650A,Other Expenditures,,
311SERVICE,311 Toronto,700A,Interdivisional Charges,262.4,
AUDITGEN,Accountability Offices - Auditor General,100A,Salaries and Benefits,3814,
AUDITGEN,Accountability Offices - Auditor General,200A,Materials and Supplies,15.2,
AUDITGEN,Accountability Offices - Auditor General,300A,Equipment,7.6,
AUDITGEN,Accountability Offices - Auditor General,400A,Services & Rents,405.4,
AUDITGEN,Accountability Offices - Auditor General,505A,Contributions to Capital,0,
AUDITGEN,Accountability Offices - Auditor General,510A,Contributions to Reserve/Res Funds,6.8,
AUDITGEN,Accountability Offices - Auditor General,650A,Other Expenditures,0,
AUDITGEN,Accountability Offices - Auditor General,700A,Interdivisional Charges,22.3,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,100A,Salaries and Benefits,194,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,200A,Materials and Supplies,1.2,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,300A,Equipment,0,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,400A,Services & Rents,11.3,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,505A,Contributions to Capital,0,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,510A,Contributions to Reserve/Res Funds,4.1,
INTEGRITYCOMM,Accountability Offices - Integrity Commissioner,650A,Other Expenditures,0,
