_META_START_,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDcVBGc2xUMUR6Z0k,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OubHdZVEpCZmdfNlE,,,,
SOURCE_DOCUMENT_TITLE,CITY OF TORONTO 2013 COUNCIL APPROVED OPERATING BUDGET GROSS EXPENDITURE,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuUVVHbXBZZUFYamc,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,
YEAR,2013,,,,
VERSION,Summary,,,,
ASPECT,Expenses,,,,
NOTES_CONTENT,,,,,
NOTES_SEVERITY,,,,,
UNITS_NAME,Dollar,,,,
UNITS_CODE,DOLLAR,,,,
UNITS_MULTIPLIER,1000,,,,
TOTAL_AMOUNT,10794422.5,,,,
INTAKE_DATETIME,2016-09-16-15-42-52,,,,
INTAKE_OPERATOR_ID,Henrik,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,,
_META_END_,,,,,
AFFHOUSING,Affordable Housing Office,2639.6,,,
ARENAS,Arena Boards of Management,7193.6,,,
AUDITGEN,Auditor General's Office,4038.1,,,
BUILDINGS,Toronto Building,47090.6,,,
CFO,Office of the Chief Financial Officer,20065.6,,,"Original amount was 15526.4, plus:
Allocation from: ENV,Toronto Environment Office,4539.2, (org chart)"
CHILDSERV,Children's Services,401174,,,
CITYMANAGER,City Manager's Office,50386.2,,,
CLERK,City Clerk's Office,46469.5,,,
COMMCENTRES,Association of Community Centres,7111.2,,,
CORPEXPENDITURES,Non-Program Expenditures,703639.8,,,
CORPFINANCING,Capital & Corporate Financing,655019.5,,,
CORPREVENUES,Non-Program Revenues,9224.4,,,
COUNCIL,City Council,19761.7,,,
COURTSERV,Court Services,54790.9,,,
ECONDEV,Economic Development & Culture,56705.9,,,
ENGINEERING,Engineering & Construction Services,70748,,,"Original amount was null, plus:
Allocation from: TECH,Technical Services,70748, (toronto.ca)"
EXHIBPLACE,Exhibition Place,43650.7,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",178535.6,,,
FIRE,Fire Services,375364.1,,,
FLEET,Fleet Services,46340.4,,,
HERITAGE,Heritage Toronto,740.1,,,
INTEGRITYCOMM,Integrity Commissioner's Office,249.7,,,
IT,Information & Technology,105191.3,,,
LEGAL,Legal Services,44811,,,
LIBRARY,Toronto Public Library,180793.9,,,
LICENCING,Municipal Licensing & Standards,48413.6,,,
LOBBYREG,Office of the Lobbyist Registrar,1065.4,,,
LONGTERMHOME,Long Term Care Homes & Services,226566.5,,,
MAYOR,Mayor's Office,1940.3,,,
OMBUDSMAN,Office of the Ombudsman,1570.1,,,
PARAMEDIC,Toronto Paramedic Services,179525.2,,,"Original amount was null, plus:
Allocation from: EMERG,Emergency Medical Services,179525.2, (logical)"
PARKING,Toronto Parking Authority,72216.7,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_tpa.pdf,,
PARKS,"Parks, Forestry & Recreation",392026.7,,,
PLANNING,City Planning,39019.9,,,
POLICE,Toronto Police Service,1018876.1,,,
POLICEBOARD,Toronto Police Services Board,2751.6,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",20859.5,,,
PUBLICHEALTH,Toronto Public Health,240462.8,,,
REGIONCONSERV,Toronto & Region Conservation Authority,38402,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",668682.3,,,
SOCIALDEV,"Social Development, Finance & Administration",33589.1,,,
SOCIALSERV,Toronto Employment & Social Services,1243544.4,,,
SOLIDWASTE,Solid Waste Management Services,348747.9,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_swms.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDb1lJY1NJbHBTOFk,,
THEATRES,Theatres,23589.5,,,
TRANSPORTATION,Transportation Services,329511,,,
TREASURER,Office of the Treasurer,72551.4,,,
TTCCONV,Toronto Transit Commission - Conventional,1540948.4,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,102369.3,,,
WATER,Toronto Water,940797.1,http://www1.toronto.ca/City%20Of%20Toronto/Strategic%20Communications/City%20Budget/2013/Operating%20Budget%20Summaries/op13_an_water.pdf https://drive.google.com/open?id=0BzB3t6aSc9bDWmhZSXNKSWN1aTQ,,
YONGEDUNDAS,Yonge-Dundas Square,2069.2,,,
ZOO,Toronto Zoo,53565.3,,,
311SERVICE,311 Toronto,19025.8,,,
