_META_START_,,,,,,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,,,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuS281Y1BSOVZLLUE,,,,,,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuM0VvWDZnRDRVcGc,,,,,,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,,,,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,,,,,,
SOURCE_DOCUMENT_TABLE_TITLE,Preliminary Operating Budget Summary 2016,,,,,,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuekZYSFhXRTRSNTA,,,,,,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,,,,,,
YEAR,2015,,,,,,,,
VERSION,PBFT,,,,,,,,
ASPECT,Revenues,,,,,,,,
NOTES_CONTENT,,,,,,,,,
NOTES_SEVERITY,,,,,,,,,
UNITS_NAME,Dollar,,,,,,,,
UNITS_CODE,DOLLAR,,,,,,,,
UNITS_MULTIPLIER,1,,,,,,,,
TOTAL_AMOUNT,11763793375,,,,,,,,
INTAKE_DATETIME,2016-09-05-17-43-30,,,,,,,,
INTAKE_OPERATOR_ID,Henrik,,,,,,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Service:CODE, Service:NAME,Activity:CODE, Activity:NAME, Revenue:CODE, Revenue:NAME",,,,,,,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,,,,,,
_META_END_,,,,,,,,,
311SERVICE,311 Toronto,311 Service Delivery,311 Service Delivery,,,750A,Inter-Divisional Recoveries,5693589,
311SERVICE,311 Toronto,TO-311 Development,TO-311 Development,311 PMO,311 PMO,920A,Transfers From Capital,2624870,
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,,805A,Provincial Subsidies,382806,
AFFHOUSING,Affordable Housing Office,Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,,930A,Contribution From Reserves/Reserve Funds,166333,
AFFHOUSING,Affordable Housing Office,Housing Policy & Partnerships,Housing Policy & Partnerships,,,805A,Provincial Subsidies,383833,
