Homes for the Aged,140979.7,
Arena Boards of Management,5242.9,
Assessment Growth - 2004,26570.3,
Customer & Business Support,2203.5,
Children's Services,225065.9,
Chief Administrator's Office,157.4,
City Clerk's Office,20368.2,
Association of Community Centers,166.8,
Corporate Communications,109.6,
Non-Program Expenditures,26158.7,
Capital & Corporate Financing,8134,
Non-Program Revenues,499357.2,
Court Services,37300,
Community Partnership & Investment Program,5208.2,
Culture,3806.6,
Economic Development,1299.3,
Emergency Medical Services,74144.4,
Emergency Management Plan,760,
Exhibition Place,42656.4,
Facilities & Real Estate,55249.8,
Finance,33376.8,
Fire Services,4577.9,
Fleet Services,31189.6,
Heritage Toronto,166.1,
Human Resources,1796.2,
Service Improvement & Innovation,456.5,
Information & Technology,5281.2,
Legal,7687.9,
Toronto Public Library,14705.9,
Parking Authority,95335.1,"Parking Authority (TPA):  Net revenue has been distributed according to City's Revenue Sharing Agreement: 25% retained by TPA, 75% to the City (with $4.679 m to Transportation and the balance to Non-program)."
Parks & Recreation,78283,
Urban Development Services,77986.2,
Toronto Police Service,28461.7,
Toronto Public Health,109227.9,
Toronto & Region Conservation Authority,23906.2,
"Shelter, Housing & Support",360469.9,
Social Development & Administration,9822,
Social Services,720475.1,
Solid Waste Management Services,58041.5,
C & I Charity Rebate - Special Levy,2151.3,
WES - Support Services,35517.1,
WES - Technical Services,45985.8,
Theatres,17336.8,
Tourism,3471.9,
Transportation Services,78981.8,
Toronto Transit Commission - Conventional,779052.4,
Toronto Transit Commission - Wheel Trans,2702.6,
Water & Waste Water,555185.5,
Yonge/Dundas Square,359.4,
Toronto Zoo,23833.5,
