_META_,,,,,
SOURCE,https://drive.google.com/open?id=0BzB3t6aSc9bDRlFad3VaU1RlZEk,,,,
SOURCEQUALIFIERS,,,,,
DOCTITLE,2007 COUNCIL APPROVED OPERATING BUDGET SUMMARY BY CITY PROGRAM – Revenues,,,,
YEAR,2007,,,,
TYPE,REVENUES,,,,
UNITS,"$1,000.00",,,,
NOTES,,,,,
_METAEND_,,,,,
_DATA_,,,,,
DIVISIONCODE,DivisionName,Amount,RollIntoCode,Note,AlternateSource
311SERVICE,3-1-1 Customer Service Strategy,2626.9,,,
AFFHOUSING,Affordable Housing Office,1767.8,,,
AGEDHOMES,Homes for the Aged,159668.3,,,
ARENAS,Arena Boards of Management,5787.7,,,
AUDITGEN,Auditor General’s Office,0,,,
BEAUTY,Clean and Beautiful City Secretariat,30,,,
BUILDING,Toronto Building,51668.7,,,
CFO,Office of the Chief Financial Officer,3578.1,,,
CHILDSERV,Children’s Services,267713.7,,,
CITYMANAGER,City Manager’s Office,2453.8,,,
CLERK,City Clerk’s Office,12901.1,,,
COMMCENTRES,Association of Community Centres,161.8,,,
CORPEXPENDITURES,Non-Program Expenditures,96995.4,,,
CORPFINANCING,Capital & Corporate Financing,8463,,,
CORPREVENUES,Non-Program Revenues,944691.9,,,
COUNCIL,City Council,0,,,
COURTSERV,Court Services,46226.7,,,
CPIP,Community Partnership and Investment Program,259,,,
CREATIVEINFO,Pubic Information & Creative Services,143.1,,,
ECONDEV,"Economic Development, Culture & Tourism",9079.9,,,
EMERG,Emergency Medical Services,87607,,,
EXHIBPLACE,Exhibition Place,53327.7,,,
FACILITIES,Facilities & Real Estate,68476.8,,,
FIRE,Fire Services,8666.2,,,
FLEET,Fleet Services,35821.4,,,
HERITAGE,Heritage Toronto,236.1,,,
IT,Information & Technology,8634.7,,,
LEGAL,Legal Services,12241.7,,,
LIBRARY,Toronto Public Library,14635.6,,,
LICENCING,Municipal Licensing & Standards,22621.7,,,
LOBBYREG,Lobbyist Registrar,0,,,
MAYOR,Mayor’s Office,0,,,
PARKING,Toronto Parking Authority,102234.1,,,
PARKS,"Parks, Forestry & Recreation",77308,,,
PLANNING,City Planning,20466.6,,,
POLICE,Toronto Police Service,45220.1,,,
POLICEBOARD,Toronto Police Services Board,0,,,
POLICYADMIN,"Policy, Planning, Finance and Administration",1339.1,,,
PUBLICHEALTH,Toronto Public Health,160109.2,,,
REGIONCONSERV,Toronto & Region Conservation Authority,33531.5,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",415918.8,,,
SOCIALDEV,"Social Development, Finance & Administration",12439.9,,,
SOCIALSERV,Social Services,777051.4,,,
SOLIDWASTE,Solid Waste Management Services,54254.9,,,
TECH,Technical Services,59389.9,,,
THEATRES,Theatres,26272.6,,,
TRANSPORTATION,Transportation Services,90089.6,,,
TREASURER,Office of the Treasurer,34735.4,,,
TTCCONV,Toronto Transit Commission - Conventional,811112.3,,,
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,3236.5,,,
WATER,Toronto Water,648221.3,,,
WATERFRONT,Waterfront Secretariat,236.2,,,
YONGEDUNDAS,Yonge-Dundas Square,583.2,,,
ZOO,Toronto Zoo,26918.9,,,
