_META_,,,,,
SOURCE,https://drive.google.com/open?id=0BzB3t6aSc9bDZmdsN3ZpYUItNnM,,,,
SOURCEQUALIFIERS,,,,,
DOCTITLE,2015 COUNCIL APPROVED OPERATING BUDGET – GROSS REVENUE,,,,
YEAR,2015,,,,
TYPE,REVENUES,,,,
UNITS,"$1,000.00",,,,
NOTES,,,,,
_METAEND_,,,,,
_DATA_,,,,,
DIVISIONCODE,DivisionName,Amount,RollIntoCode,Note,AlternateSource
311SERVICE,311 Toronto,8330,,,
AFFHOUSING,Affordable Housing Office,1569,,,
ARENAS,Arena Boards of Management,8407,,,
AUDITGEN,Auditor General's Office,0,,,
BUILDINGS,Toronto Buildings,61200,,,
CFO,Office of the Chief Financial Officer,6781,,,
CHILDSERV,Children's Services,375688,,,
CITYMANAGER,City Manager's Office,8139,,,
CLERK,City Clerk's Office,17415,,,
COMMCENTRES,Association of Community Centres,398,,,
CORPEXPENDITURES,Non-Program Expenditures,165347,,,
CORPFINANCING,Capital & Corporate Financing,28603,,,
CORPREVENUES,Non-Program Revenues,1112317,,,
COUNCIL,City Council,130,,,
COURTSERV,Court Services,54584,,,
ECONDEV,Economic Development & Culture,25744,,,
ENGINEERING,Engineering & Construction Services,59294,,,
EXHIBPLACE,Exhibition Place,38431,,,
FACILITIES,"Facilities, Real Estate, Environment & Energy",123891,,,
FIRE,Fire Services,17000,,,
FLEET,Fleet Services,52397,,,
HERITAGE,Heritage Toronto,449,,,
INTEGRITYCOMM,Integrity Commissioner's Office,0,,,
IT,Information & Technology,49242,,,
LEGAL,Legal Services,29261,,,
LIBRARY,Toronto Public Library,16516,,,
LICENCING,Municipal Licensing & Standards,29819,,,
LOBBYREG,Office of the Lobbyist Registrar,0,,,
LOCALAPPEAL,Local Appeal Body,50,,,
LONGTERMHOME,Long Term Care Homes & Services,195943,,,
MAYOR,Mayor's Office,0,,,
OMBUDSMAN,Office of the Ombudsman,0,,,
PARAMEDIC,Toronto Paramedic Services,123101,,,
PARKING,Toronto Parking Authority,134229,,,
PARKS,"Parks, Forestry & Recreation",129777,,,
PLANNING,City Planning,27477,,,
POLICE,Toronto Police Service,196873,,,
POLICEBOARD,Toronto Police Services Board,750,,,
POLICYADMIN,"Policy, Planning, Finance & Administration",12352,,,
PUBLICHEALTH,Toronto Public Health,195329,,,
REGIONCONSERV,Toronto & Region Conservation Authority,36731,,,
SCARBSUB,Special Levy for Scarborough Subway,6028411,,,
SHELTERADMIN,"Shelter, Support & Housing Administration",367046,,,
SOCIALDEV,"Social Development, Finance & Administration",16421,,,
SOCIALSERV,Toronto Employment & Social Services,961824,,,
SOLIDWASTE,Solid Waste Management Services,370785,,,
THEATRES,Theatres,17978,,,
TRANSPORTATION,Transportation Services,141565,,,
TREASURER,Office of the Treasurer,46910,,,
TTCCONV,Toronto Transit Commission - Conventional,1220090,,,
TTCWHEEL,Toronto Transit Commission - Wheel Trans,6514,,,
WATER,Toronto Water,1080673,,,
YONGEDUNDAS,Yonge-Dundas Square,1873,,,
ZOO,Toronto Zoo,38855,,,
