_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=96c98f90dba60310VgnVCM1000003dd60f89RCRD&vgnextchannel=1a66e03bb8d1e310VgnVCM10000071d60f89RCRD,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OudFF0bGVRMVZ4dTA,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTF9vOFRVVHl3Z2M,,,
SOURCE_DOCUMENT_TITLE,Budget - Operating Budget Program Summary by Expenditure Category,,,
SOURCE_DOCUMENT_TABLE_LOCATION,Data Download,,,
SOURCE_DOCUMENT_TABLE_TITLE,Approved Operating Budget Summary 2017,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuOUo0b25oQ201WGM,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2017,,,
VERSION,PBFT,,,
ASPECT,Revenues,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Dollar,,,
UNITS_CODE,DOLLAR,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,,,,
INTAKE_DATETIME,,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:NAME, Service:NAME, Activity:NAME, Revenue:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",,,
_META_END_,,,,
311 Toronto,311 Service Delivery,,Inter-Divisional Recoveries,6365033
311 Toronto,311 Service Delivery,,Sundry and Other Revenues,18000
311 Toronto,TO-311 Development,311 PMO,Transfers From Capital,1603125
Affordable Housing Office,Housing Improvement Programs,,Provincial Subsidies,557452
Affordable Housing Office,Housing Improvement Programs,,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,Housing Policy & Partnerships,,Provincial Subsidies,558481
Affordable Housing Office,Housing Policy & Partnerships,,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,New Affordable Housing Development,,Provincial Subsidies,557452
Affordable Housing Office,New Affordable Housing Development,,Contribution From Reserves/Reserve Funds,166333
Affordable Housing Office,New Affordable Housing Development,,Inter-Divisional Recoveries,131782
Arena Boards of Management,Community Ice & Facility Booking,,User Fees & Donations,7970786
Arena Boards of Management,Community Ice & Facility Booking,,Sundry and Other Revenues,1062023
Association of Community Centres,Social Economic & Neighbourhood Development,,User Fees & Donations,294930
Association of Community Centres,Social Economic & Neighbourhood Development,,Sundry and Other Revenues,1500
Capital & Corporate Financing,Corporate Accounts,,Contribution From Reserves/Reserve Funds,16273000
Capital & Corporate Financing,Corporate Accounts,,Provincial Subsidies,3612676
Capital & Corporate Financing,Corporate Accounts,,Inter-Divisional Recoveries,2532192
Capital & Corporate Financing,Corporate Accounts,,Sundry and Other Revenues,1762045
Children's Services,Child Care Delivery,,Provincial Subsidies,262292875
Children's Services,Child Care Delivery,,User Fees & Donations,30569600
Children's Services,Child Care Delivery,,Inter-Divisional Recoveries,10200000
